,uf,municipio,cod_municipio,zona,secao,modelo_urna,22,13,branco,nulo,comparecimentos,aptos
0,RR,CAROEBE,03000,0004,0011,UE2015,139,38,0,4,189,209
1,RR,CAROEBE,03000,0004,0012,UE2015,139,38,3,0,187,212
2,RR,CAROEBE,03000,0004,0013,UE2015,154,23,1,3,187,209
3,RR,CAROEBE,03000,0004,0014,UE2020,191,46,1,0,253,289
4,RR,CAROEBE,03000,0004,0015,UE2020,190,43,2,5,250,284
5,RR,CAROEBE,03000,0004,0016,UE2020,148,37,3,3,202,242
6,RR,CAROEBE,03000,0004,0017,UE2020,185,39,1,3,248,290
7,RR,CAROEBE,03000,0004,0018,UE2020,197,28,0,4,239,288
8,RR,CAROEBE,03000,0004,0019,UE2020,158,33,3,3,202,235
9,RR,CAROEBE,03000,0004,0020,UE2020,162,34,2,5,220,243
10,RR,CAROEBE,03000,0004,0053,UE2015,146,27,0,5,187,214
11,RR,CAROEBE,03000,0004,0063,UE2015,26,141,0,2,170,184
12,RR,CAROEBE,03000,0004,0064,UE2020,132,40,0,9,199,237
13,RR,CAROEBE,03000,0004,0065,UE2015,142,50,1,3,205,237
14,RR,CAROEBE,03000,0004,0074,UE2020,188,31,0,4,235,282
15,RR,CAROEBE,03000,0004,0075,UE2020,211,33,0,1,256,290
16,RR,CAROEBE,03000,0004,0084,UE2020,239,66,3,3,336,388
17,RR,CAROEBE,03000,0004,0089,UE2020,160,30,1,6,205,240
18,RR,CAROEBE,03000,0004,0092,UE2015,135,42,0,4,188,213
19,RR,CAROEBE,03000,0004,0099,UE2020,125,29,0,3,169,196
20,RR,CAROEBE,03000,0004,0104,UE2020,204,27,3,3,254,288
21,RR,CAROEBE,03000,0004,0107,UE2015,141,42,1,2,192,213
22,RR,CAROEBE,03000,0004,0123,UE2020,202,36,0,3,253,292
23,RR,CAROEBE,03000,0004,0125,UE2015,137,26,0,3,171,207
24,RR,CAROEBE,03000,0004,0126,UE2020,131,42,0,4,187,234
25,RR,CAROEBE,03000,0004,0131,UE2020,179,53,1,2,247,266
26,RR,BOA VISTA,03018,0001,0001,UE2020,179,52,1,4,255,312
27,RR,BOA VISTA,03018,0001,0002,UE2020,183,43,0,2,244,310
28,RR,BOA VISTA,03018,0001,0003,UE2020,186,36,1,5,253,300
29,RR,BOA VISTA,03018,0001,0004,UE2020,184,53,2,4,264,300
30,RR,BOA VISTA,03018,0001,0005,UE2020,163,52,2,4,245,301
31,RR,BOA VISTA,03018,0001,0006,UE2020,173,55,0,4,257,303
32,RR,BOA VISTA,03018,0001,0007,UE2020,153,40,1,3,220,270
33,RR,BOA VISTA,03018,0001,0020,UE2020,126,24,3,7,178,211
34,RR,BOA VISTA,03018,0001,0022,UE2020,162,41,1,6,241,299
35,RR,BOA VISTA,03018,0001,0023,UE2020,182,55,2,7,276,336
36,RR,BOA VISTA,03018,0001,0024,UE2020,119,38,2,0,184,210
37,RR,BOA VISTA,03018,0001,0025,UE2020,118,36,1,1,168,208
