,uf,municipio,cod_municipio,zona,secao,modelo_urna,22,13,branco,nulo,comparecimentos,aptos
0,RN,TENENTE LAURENTINO CRUZ,16004,0021,0016,UE2010,47,201,3,11,262,303
1,RN,TENENTE LAURENTINO CRUZ,16004,0021,0017,UE2010,51,190,0,6,247,300
2,RN,TENENTE LAURENTINO CRUZ,16004,0021,0018,UE2010,48,189,3,13,253,303
3,RN,TENENTE LAURENTINO CRUZ,16004,0021,0044,UE2010,42,216,2,11,271,301
4,RN,TENENTE LAURENTINO CRUZ,16004,0021,0047,UE2010,53,188,1,11,253,300
5,RN,TENENTE LAURENTINO CRUZ,16004,0021,0048,UE2010,64,198,1,6,269,305
6,RN,TENENTE LAURENTINO CRUZ,16004,0021,0049,UE2010,92,203,2,12,309,374
7,RN,TENENTE LAURENTINO CRUZ,16004,0021,0051,UE2010,86,228,2,6,322,374
8,RN,TENENTE LAURENTINO CRUZ,16004,0021,0053,UE2010,83,233,5,8,329,369
9,RN,TENENTE LAURENTINO CRUZ,16004,0021,0056,UE2010,95,207,1,7,310,367
10,RN,TENENTE LAURENTINO CRUZ,16004,0021,0057,UE2010,89,219,4,7,319,372
11,RN,TENENTE LAURENTINO CRUZ,16004,0021,0058,UE2010,71,165,3,6,245,303
12,RN,TENENTE LAURENTINO CRUZ,16004,0021,0060,UE2010,88,199,3,6,296,370
13,RN,TENENTE LAURENTINO CRUZ,16004,0021,0061,UE2010,90,204,2,4,300,365
14,RN,TENENTE LAURENTINO CRUZ,16004,0021,0063,UE2010,101,205,1,6,313,372
15,RN,ACARI,16012,0022,0001,UE2010,82,175,2,6,265,340
16,RN,ACARI,16012,0022,0002,UE2010,86,153,1,14,254,333
17,RN,ACARI,16012,0022,0003,UE2010,81,159,1,2,243,329
18,RN,ACARI,16012,0022,0004,UE2010,78,180,2,7,267,335
19,RN,ACARI,16012,0022,0005,UE2010,88,172,3,7,270,336
20,RN,ACARI,16012,0022,0006,UE2010,92,180,4,9,285,352
21,RN,ACARI,16012,0022,0007,UE2010,93,180,1,13,287,351
22,RN,ACARI,16012,0022,0008,UE2010,63,178,1,4,246,314
23,RN,ACARI,16012,0022,0009,UE2010,75,160,5,4,244,313
24,RN,ACARI,16012,0022,0010,UE2010,73,164,5,6,248,307
25,RN,ACARI,16012,0022,0011,UE2010,88,167,1,5,261,317
26,RN,ACARI,16012,0022,0012,UE2010,83,207,4,6,300,353
27,RN,ACARI,16012,0022,0013,UE2010,95,182,4,7,288,351
28,RN,ACARI,16012,0022,0014,UE2010,90,189,2,12,293,349
29,RN,ACARI,16012,0022,0015,UE2010,82,187,4,11,284,355
30,RN,ACARI,16012,0022,0016,UE2010,57,187,2,11,257,312
31,RN,ACARI,16012,0022,0017,UE2010,87,161,1,6,255,315
32,RN,ACARI,16012,0022,0018,UE2010,73,175,0,3,251,312
33,RN,ACARI,16012,0022,0019,UE2010,79,180,3,6,268,313
34,RN,ACARI,16012,0022,0020,UE2010,78,133,0,6,217,262
35,RN,ACARI,16012,0022,0021,UE2010,55,146,3,3,207,259
36,RN,ACARI,16012,0022,0033,UE2010,106,176,4,4,290,348
37,RN,ACARI,16012,0022,0034,UE2010,87,195,5,12,299,356
38,RN,ACARI,16012,0022,0035,UE2010,96,203,3,5,307,353
